Title,Year,Movie Duration,Rating,Poster,Plot Summary,Genres,Directors,Writers,Actors,Languages,Release Date,Release Country,Box Office,Production Companies
1. Once Upon a Time... in Hollywood,2019,2h 41m,7.6,https://www.imdb.com/title/tt7131622/?ref_=sr_i_1,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.",,,,,,,,,
2. The Fifth Element,1997,2h 6m,7.6,https://www.imdb.com/title/tt0119116/?ref_=sr_i_2,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",,,,,,,,,
3. 300,2006,1h 57m,7.6,https://www.imdb.com/title/tt0416449/?ref_=sr_i_3,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",,,,,,,,,
4. John Wick: Chapter 4,2023,2h 49m,7.6,https://www.imdb.com/title/tt10366206/?ref_=sr_i_4,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",,,,,,,,,
5. The Whale,2022,1h 57m,7.6,https://www.imdb.com/title/tt13833688/?ref_=sr_i_5,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",,,,,,,,,
6. Hell or High Water,2016,1h 42m,7.6,https://www.imdb.com/title/tt2582782/?ref_=sr_i_6,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",,,,,,,,,
7. Watchmen,2009,2h 42m,7.6,https://www.imdb.com/title/tt0409459/?ref_=sr_i_7,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",,,,,,,,,
8. Anatomy of a Fall,2023,2h 31m,7.6,https://www.imdb.com/title/tt17009710/?ref_=sr_i_8,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,,,,,,,,,
9. Aftersun,2022,1h 42m,7.6,https://www.imdb.com/title/tt19770238/?ref_=sr_i_9,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't.,,,,,,,,,
10. The Others,2001,1h 41m,7.6,https://www.imdb.com/title/tt0230600/?ref_=sr_i_10,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",,,,,,,,,
11. Office Space,1999,1h 29m,7.6,https://www.imdb.com/title/tt0151804/?ref_=sr_i_11,Three company workers who hate their jobs decide to rebel against their greedy boss.,,,,,,,,,
12. Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,7.6,https://www.imdb.com/title/tt0121766/?ref_=sr_i_12,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",,,,,,,,,
13. RoboCop,1987,1h 42m,7.6,https://www.imdb.com/title/tt0093870/?ref_=sr_i_13,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",,,,,,,,,
14. True Grit,2010,1h 50m,7.6,https://www.imdb.com/title/tt1403865/?ref_=sr_i_14,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,,,,,,,,,
15. The Machinist,2004,1h 41m,7.6,https://www.imdb.com/title/tt0361862/?ref_=sr_i_15,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,,,,,,,,,
16. Deadpool 2,2018,1h 59m,7.6,https://www.imdb.com/title/tt5463162/?ref_=sr_i_16,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",,,,,,,,,
17. Saw,2004,1h 43m,7.6,https://www.imdb.com/title/tt0387564/?ref_=sr_i_17,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer.",,,,,,,,,
18. Minority Report,2002,2h 25m,7.6,https://www.imdb.com/title/tt0181689/?ref_=sr_i_18,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",,,,,,,,,
19. The Butterfly Effect,2004,1h 53m,7.6,https://www.imdb.com/title/tt0289879/?ref_=sr_i_19,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",,,,,,,,,
20. Kung Fu Panda,2008,1h 32m,7.6,https://www.imdb.com/title/tt0441773/?ref_=sr_i_20,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",,,,,,,,,
21. The Last of the Mohicans,1992,1h 52m,7.6,https://www.imdb.com/title/tt0104691/?ref_=sr_i_21,Three Mohican trappers agree to protect the daughters of a British Colonel in the midst of the French and Indian War.,,,,,,,,,
22. What We Do in the Shadows,2014,1h 26m,7.6,https://www.imdb.com/title/tt3416742/?ref_=sr_i_22,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",,,,,,,,,
23. Dark Waters,2019,2h 6m,7.6,https://www.imdb.com/title/tt9071322/?ref_=sr_i_23,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,,,,,,,,,
24. The Boondock Saints,1999,1h 48m,7.6,https://www.imdb.com/title/tt0144117/?ref_=sr_i_24,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,,,,,,,,,
25. Stardust,2007,2h 7m,7.6,https://www.imdb.com/title/tt0486655/?ref_=sr_i_25,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",,,,,,,,,
26. The Thin Red Line,1998,2h 50m,7.6,https://www.imdb.com/title/tt0120863/?ref_=sr_i_26,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",,,,,,,,,
27. My Cousin Vinny,1992,2h,7.6,https://www.imdb.com/title/tt0104952/?ref_=sr_i_27,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",,,,,,,,,
28. Moneyball,2011,2h 13m,7.6,https://www.imdb.com/title/tt1210166/?ref_=sr_i_28,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,,,,,,,,,
29. Midnight in Paris,2011,1h 34m,7.6,https://www.imdb.com/title/tt1605783/?ref_=sr_i_29,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",,,,,,,,,
30. Deliverance,1972,1h 49m,7.6,https://www.imdb.com/title/tt0068473/?ref_=sr_i_30,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",,,,,,,,,
31. The Fault in Our Stars,2014,2h 6m,7.6,https://www.imdb.com/title/tt2582846/?ref_=sr_i_31,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.",,,,,,,,,
32. After Hours,1985,1h 37m,7.6,https://www.imdb.com/title/tt0088680/?ref_=sr_i_32,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop.",,,,,,,,,
33. Toy Story 4,2019,1h 40m,7.6,https://www.imdb.com/title/tt1979376/?ref_=sr_i_33,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",,,,,,,,,
34. 3:10 to Yuma,2007,2h 2m,7.6,https://www.imdb.com/title/tt0381849/?ref_=sr_i_34,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,,,,,,,,,
35. The Birds,1963,1h 59m,7.6,https://www.imdb.com/title/tt0056869/?ref_=sr_i_35,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,,,,,,,,,
36. The Mitchells vs the Machines,2021,1h 54m,7.6,https://www.imdb.com/title/tt7979580/?ref_=sr_i_36,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",,,,,,,,,
37. Gone Baby Gone,2007,1h 54m,7.6,https://www.imdb.com/title/tt0452623/?ref_=sr_i_37,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",,,,,,,,,
38. The Double Life of Véronique,1991,1h 38m,7.6,https://www.imdb.com/title/tt0101765/?ref_=sr_i_38,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",,,,,,,,,
39. The Raid,2011,1h 41m,7.6,https://www.imdb.com/title/tt1899353/?ref_=sr_i_39,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,,,,,,,,,
40. Ponyo,2008,1h 41m,7.6,https://www.imdb.com/title/tt0876563/?ref_=sr_i_40,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",,,,,,,,,
41. Run Lola Run,1998,1h 21m,7.6,https://www.imdb.com/title/tt0130827/?ref_=sr_i_41,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",,,,,,,,,
42. Belle de Jour,1967,1h 40m,7.6,https://www.imdb.com/title/tt0061395/?ref_=sr_i_42,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,,,,,,,,,
43. The Last King of Scotland,2006,2h 3m,7.6,https://www.imdb.com/title/tt0455590/?ref_=sr_i_43,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,,,,,,,,,
44. Rushmore,1998,1h 33m,7.6,https://www.imdb.com/title/tt0128445/?ref_=sr_i_44,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",,,,,,,,,
45. 21 Grams,2003,2h 4m,7.6,https://www.imdb.com/title/tt0315733/?ref_=sr_i_45,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",,,,,,,,,
46. The Bridges of Madison County,1995,2h 15m,7.6,https://www.imdb.com/title/tt0112579/?ref_=sr_i_46,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,,,,,,,,,
47. 50/50,2011,1h 40m,7.6,https://www.imdb.com/title/tt1306980/?ref_=sr_i_47,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",,,,,,,,,
48. Short Cuts,1993,3h 8m,7.6,https://www.imdb.com/title/tt0108122/?ref_=sr_i_48,The day-to-day lives of several suburban Los Angeles residents.,,,,,,,,,
49. Frost/Nixon,2008,2h 2m,7.6,https://www.imdb.com/title/tt0870111/?ref_=sr_i_49,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,,,,,,,,,
50. The Little Prince,2015,1h 48m,7.6,https://www.imdb.com/title/tt1754656/?ref_=sr_i_50,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",,,,,,,,,
51. Control,2007,2h 2m,7.6,https://www.imdb.com/title/tt0421082/?ref_=sr_i_51,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to die by suicide at the age of 23.",,,,,,,,,
52. Down by Law,1986,1h 47m,7.6,https://www.imdb.com/title/tt0090967/?ref_=sr_i_52,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",,,,,,,,,
53. Zelig,1983,1h 19m,7.6,https://www.imdb.com/title/tt0086637/?ref_=sr_i_53,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",,,,,,,,,
54. Wicked,2024,2h 40m,7.7,https://www.imdb.com/title/tt1262426/?ref_=sr_i_54,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",,,,,,,,,
55. Blue Velvet,1986,2h,7.7,https://www.imdb.com/title/tt0090756/?ref_=sr_i_55,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",,,,,,,,,
56. Harry Potter and the Philosopher's Stone,2001,2h 32m,7.7,https://www.imdb.com/title/tt0241527/?ref_=sr_i_56,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",,,,,,,,,
57. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,7.7,https://www.imdb.com/title/tt9603212/?ref_=sr_i_57,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,,,,,,,,,
58. The Goonies,1985,1h 54m,7.7,https://www.imdb.com/title/tt0089218/?ref_=sr_i_58,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,,,,,,,,,
59. Sicario,2015,2h 1m,7.7,https://www.imdb.com/title/tt3397884/?ref_=sr_i_59,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,,,,,,,,,
60. Harry Potter and the Goblet of Fire,2005,2h 37m,7.7,https://www.imdb.com/title/tt0330373/?ref_=sr_i_60,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",,,,,,,,,
61. Kingsman: The Secret Service,2014,2h 9m,7.7,https://www.imdb.com/title/tt2802144/?ref_=sr_i_61,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",,,,,,,,,
62. Blue Is the Warmest Colour,2013,3h,7.7,https://www.imdb.com/title/tt2278871/?ref_=sr_i_62,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",,,,,,,,,
63. Y tu mamá también,2001,1h 46m,7.7,https://www.imdb.com/title/tt0245574/?ref_=sr_i_63,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.",,,,,,,,,
64. Zodiac,2007,2h 37m,7.7,https://www.imdb.com/title/tt0443706/?ref_=sr_i_64,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",,,,,,,,,
65. The Count of Monte Cristo,2002,2h 11m,7.7,https://www.imdb.com/title/tt0245844/?ref_=sr_i_65,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",,,,,,,,,
66. Wind River,2017,1h 47m,7.7,https://www.imdb.com/title/tt5362988/?ref_=sr_i_66,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",,,,,,,,,
67. The Hangover,2009,1h 40m,7.7,https://www.imdb.com/title/tt1119646/?ref_=sr_i_67,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing. They must make their way around the city in order to find their friend in time for his wedding.,,,,,,,,,
68. Black Hawk Down,2001,2h 24m,7.7,https://www.imdb.com/title/tt0265086/?ref_=sr_i_68,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",,,,,,,,,
69. The Boy in the Striped Pyjamas,2008,1h 34m,7.7,https://www.imdb.com/title/tt0914798/?ref_=sr_i_69,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",,,,,,,,,
70. Home Alone,1990,1h 43m,7.7,https://www.imdb.com/title/tt0099785/?ref_=sr_i_70,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",,,,,,,,,
71. Airplane!,1980,1h 28m,7.7,https://www.imdb.com/title/tt0080339/?ref_=sr_i_71,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.",,,,,,,,,
72. Godzilla Minus One,2023,2h 4m,7.7,https://www.imdb.com/title/tt23289160/?ref_=sr_i_72,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",,,,,,,,,
73. A Few Good Men,1992,2h 18m,7.7,https://www.imdb.com/title/tt0104257/?ref_=sr_i_73,A military lawyer is tasked with defending two US Marines charged with murdering a fellow Marine and intends to prove they were only following their base commander's orders.,,,,,,,,,
74. 500 Days of Summer,2009,1h 35m,7.7,https://www.imdb.com/title/tt1022603/?ref_=sr_i_74,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",,,,,,,,,
75. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,7.7,https://www.imdb.com/title/tt0926084/?ref_=sr_i_75,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart.",,,,,,,,,
76. The French Connection,1971,1h 44m,7.7,https://www.imdb.com/title/tt0067116/?ref_=sr_i_76,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",,,,,,,,,
77. Ex Machina,2014,1h 48m,7.7,https://www.imdb.com/title/tt0470752/?ref_=sr_i_77,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,,,,,,,,,
78. Ocean's Eleven,2001,1h 56m,7.7,https://www.imdb.com/title/tt0240772/?ref_=sr_i_78,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event.",,,,,,,,,
79. Silver Linings Playbook,2012,2h 2m,7.7,https://www.imdb.com/title/tt1045658/?ref_=sr_i_79,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",,,,,,,,,
80. The Banshees of Inisherin,2022,1h 54m,7.7,https://www.imdb.com/title/tt11813216/?ref_=sr_i_80,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",,,,,,,,,
81. Mission: Impossible - Fallout,2018,2h 27m,7.7,https://www.imdb.com/title/tt4912910/?ref_=sr_i_81,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",,,,,,,,,
82. Captain America: The Winter Soldier,2014,2h 16m,7.7,https://www.imdb.com/title/tt1843866/?ref_=sr_i_82,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",,,,,,,,,
83. When Harry Met Sally,1989,1h 35m,7.7,https://www.imdb.com/title/tt0098635/?ref_=sr_i_83,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",,,,,,,,,
84. Tangled,2010,1h 40m,7.7,https://www.imdb.com/title/tt0398286/?ref_=sr_i_84,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",,,,,,,,,
85. Apollo 13,1995,2h 20m,7.7,https://www.imdb.com/title/tt0112384/?ref_=sr_i_85,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,,,,,,,,,
86. The Game,1997,2h 9m,7.7,https://www.imdb.com/title/tt0119174/?ref_=sr_i_86,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.",,,,,,,,,
87. Mulan,1998,1h 27m,7.7,https://www.imdb.com/title/tt0120762/?ref_=sr_i_87,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",,,,,,,,,
88. Primal Fear,1996,2h 9m,7.7,https://www.imdb.com/title/tt0117381/?ref_=sr_i_88,"The murder of a high and mighty archbishop leads to the involvement of Martin Vail, Chicago's best attorney. As he studies the suspects, he becomes convinced of certain aspects, but there's more to the story than meets the eye.",,,,,,,,,
89. Lost in Translation,2003,1h 42m,7.7,https://www.imdb.com/title/tt0335266/?ref_=sr_i_89,A fading movie star falls for a lonely young woman in Tokyo.,,,,,,,,,
90. The Holy Mountain,1973,1h 54m,7.7,https://www.imdb.com/title/tt0071615/?ref_=sr_i_90,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",,,,,,,,,
91. Taken,2008,1h 30m,7.7,https://www.imdb.com/title/tt0936501/?ref_=sr_i_91,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",,,,,,,,,
92. Crash,2004,1h 52m,7.7,https://www.imdb.com/title/tt0375679/?ref_=sr_i_92,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",,,,,,,,,
93. Brokeback Mountain,2005,2h 14m,7.7,https://www.imdb.com/title/tt0388795/?ref_=sr_i_93,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends.",,,,,,,,,
94. Argo,2012,2h,7.7,https://www.imdb.com/title/tt1024648/?ref_=sr_i_94,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",,,,,,,,,
95. The Worst Person in the World,2021,2h 8m,7.7,https://www.imdb.com/title/tt10370710/?ref_=sr_i_95,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",,,,,,,,,
96. X-Men: First Class,2011,2h 11m,7.7,https://www.imdb.com/title/tt1270798/?ref_=sr_i_96,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",,,,,,,,,
"97. O Brother, Where Art Thou?",2000,1h 47m,7.7,https://www.imdb.com/title/tt0190590/?ref_=sr_i_97,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",,,,,,,,,
98. First Blood,1982,1h 33m,7.7,https://www.imdb.com/title/tt0083944/?ref_=sr_i_98,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,,,,,,,,,
